PROVINCIA	DENOMINACION GENÉRICA	LOCALIDAD	CÓDIGO	DENOMINACION ESPECÍFICA	DOMICILIO	CODPOSTAL	TELÉFONO	FAX	EMAIL
Huesca	Centro Privado de Educación Infantil Primaria y Secundaria	Fraga	22001899	SANTA ANA	Cl. Hermana Andresa, S/N	22520	974 47 18 62	974 47 18 28	santana@santanafraga.com
Huesca	Centro Privado de Educación Infantil Primaria y Secundaria	Huesca	22002417	SANTA ANA	CL. COSO ALTO, 47	22003	974 22 02 70	974 22 00 51	santaanahu@planalfa.es
Huesca	Centro Privado de Educación Infantil Primaria y Secundaria	Huesca	22002430	SAN BERNARDO	Avda. Monreal, 14	22003	974 22 18 00	974 22 18 08	salesianos.huesca@salesianos.org
Huesca	Centro Privado de Educación Infantil Primaria y Secundaria	Huesca	22002466	SANTA ROSA	Psje. Pico del Águila nº 7	22004	974 23 86 25	974 23 83 69	sanrarosa.altoaragon@colegiosfec.com
Huesca	Centro Privado de Educación Infantil Primaria y Secundaria	Huesca	22002478	SAN VIATOR	Cl. Del Parque, 15	22003	974 23 81 12	974 22 00 26	csv59hue@planalfa.es
Huesca	Centro Privado de Educación Infantil Primaria y Secundaria	Jaca	22002703	ESCUELAS PÍAS	Avda. Perimetral, 2	22700	974 36 03 92	974 36 25 59	joseignaciobilbao@escolapiosemaus.org
Huesca	Centro Privado de Educación Infantil y Primaria	Monzón	22003252	SANTA ANA	Avda. Del Pilar, 6	22400	974 40 07 21	974 40 49 82	santaanam@colegiosaragon.org
Huesca	Centro Privado de Educación Infantil y Primaria	Monzón	22003276	MINTE	Cl. Valencia, 18	22400	974 41 68 35	974 41 68 35	colegio.minte@telefonica.net
Huesca	Centro Privado de Educación Infantil y Primaria	Sabiñánigo	22003860	SANTA ANA	Pza. Santa Ana, 4	22600	974 48 08 91	974 48 08 91	sabihcsa@gmail.com
Huesca	Centro Privado de Educación Secundaria	Benasque	22006137	VALLE DE BENASQUE	Avda .De Luchón, S/N	22440	974 55 21 07	974 55 21 07	cesbenasque@hotmail.com
Huesca	Centro Privado de Educación Secundaria	Huesca	22004657	ALTOARAGÓN	Psje. Pico del Águila nº 7	22002	974 23 86 25	974 23 83 69	altoaragon.colegio@planalfa.es
Huesca	Centro Privado de Educación Secundaria	Monzón	22003239	SANTO DOMINGO SAVIO	P.º SAN JUAN BOSCO, 83-85	22400	974 41 68 88	974 40 49 15	colegio.monzon@salesianos.org
Huesca	Centro Privado de Formación Profesional Específica	Huesca	22004803	ALFRED	Cl. Coso Alto, 32	22003	974 22 17 25		secretaria@centrosalfred.com
Huesca	Centro Privado de Formación Profesional Específica	Huesca	22010153	ARTE-MISS HUESCA	Cl. Alcalde Carderera, 3	22002	974 21 53 21	974 21 53 20	educacion@arte-miss.com
Huesca	Centro Privado de Formación Profesional Específica	Sahún	22004943	NTRA. SRA. DE GUAYENTE	CL. SANTUARIO DE GUAYENTE, S/N	22468	974 55 13 27	974 55 21 16	escuelahosteleria@guayente.info
Huesca	Centro Público de Educación de Personas Adultas	Barbastro	22005960	SOMONTANO	AVDA. del Cinca s/n	22300	974 30 64 33		cpeabarbastro@educa.aragon.es
Huesca	Centro Público de Educación de Personas Adultas	Boltaña	22005558	SOBRARBE	Cl. Samper, 1	22340	974 50 23 22		cpeaboltana@educa.aragon.es
Huesca	Centro Público de Educación de Personas Adultas	Fraga	22006034	BAJO CINCA	CL. AIRETAS, 17	22520	974 47 13 92		cpeafraga@educa.aragon.es
Huesca	Centro Público de Educación de Personas Adultas	Graus	22005509	RIBAGORZA	PZA. MAYOR, 2	22430	974 54 05 28		cpeagraus@educa.aragon.es
Huesca	Centro Público de Educación de Personas Adultas	Huesca	22004955	MIGUEL HERNÁNDEZ	Cl. Alfonso De Aragón, 12	22002	974 24 15 04		cpeahuesca@educa.aragon.es
Huesca	Centro Público de Educación de Personas Adultas	Jaca	22005492	JACETANIA	Cl Monte Perdido, 1	22700	974 36 28 75		cpeajaca@educa.aragon.es
Huesca	Centro Público de Educación de Personas Adultas	Monzón	22005480	CINCA MEDIO	Pza. Sto. Domingo, 6	22400	974 41 62 90		cpeamonzon@educa.aragon.es
Huesca	Centro Público de Educación de Personas Adultas	Sabiñánigo	22005561	ALTO GÁLLEGO	Cl. Pedro Sesé, 2	22600	974 48 25 32		cpeasabinanigo@educa.aragon.es
Huesca	Centro Público de Educación de Personas Adultas	Sariñena	22005583	MONEGROS	Cl. El Carmen, 13	22200	974 57 43 98		cpeasarinena@educa.aragon.es
Huesca	Centro Público de Educación de Personas Adultas	Tamarite de Litera	22005479	LITERA	PZA. MAYOR nº 7	22550	974 42 19 19		cpeatamarite@educa.aragon.es
Huesca	Centro Público Integrado de Formación Profesional	Huesca	22005121	SAN LORENZO	Cl. Madrid, 2	22004	974 24 36 33	974 23 06 56	iesslohuesca@educa.aragon.es
Huesca	Centro Público Integrado de Formación Profesional	Huesca	22010712	PIRÁMIDE	CAMI. DE CUARTE, S/N	22004	974 21 01 02	974 21 61 96	cpifppiramide@educa.aragon.es
Huesca	Colegio de Educación Especial	Monzón	22005157	LA ALEGRÍA	Cl. Cinca, S/N	22400	974 41 58 14	976 41 56 08	ceemonzon@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Aineto	22005340	VALLE DEL GUARGA	Cl. Única, S/N	22623	974 33 79 50		cpaineto@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Aínsa	22000071	ASUNCIÓN PAÑART MONTANER	Cl. Cortes De Aragón, 1-3	22330	974 51 00 40	974510040	cpainsa@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Alcolea de Cinca	22000251	JOSÉ MANUEL BLECUA	Avda. Autonomía De Aragón, S/N	22410	974 46 85 85	974 46 85 85	cpalcolea@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Almudévar	22000299	SANTOS SAMPER SARASA	Cl. Las Ciencias, S/N	22270	974 250 218	974 250 218	cpssalmudevar@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Ayerbe	22000585	RAMÓN Y CAJAL	Cl. Progreso, 4	22800	974 38 00 28	974 38 00 28	cpayerbe@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Ballobar	22000706	FRANCISCO GALIAY SARAÑANA	Cl. Barrio Nuevo, S/N	22234	974 46 11 97	974461197	cpballobar@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Barbastro	22000721	ALTO ARAGÓN	Avda. Del Cinca, S/N	22300	974 31 19 76	974 31 19 76	cpaabarbastro@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Barbastro	22000731	LA MERCED	Cl. Beato Florentino Asensio, S/N	22300	974 313813	974 306275	cplmbarbastro@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Barbastro	22004906	PEDRO I	CL. Luis Buñuel, 7	22300	974 31 25 21	974312521	cpp1barbastro@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Binéfar	22001073	VÍCTOR MENDOZA MENDOZA	CL. ALMACELLAS, 31	22500	974 42 83 50	974 42 83 77	cpbinefar@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Bolea	22001191	VIRGEN DE LA SOLEDAD	Cl. Carretera, 6	22160	974 27 25 62		cpbolea@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Caldearenas	22005054	VIRGEN DE LOS RÍOS	Cl. La Iglesia, S/N	22624	974 35 97 96	974359800	cpcaldearenas@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Campo	22001358	CERBÍN	Pza. Cabovila, 5	22450	974 55 01 80		cpcampo@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Canfranc-Estación	22001437	LOS ARAÑONES	Pza. De Las Escuelas S/N	22880	974 37 30 15	974373015	cpcanfranc@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Chalamera	22001656	RAMÓN J. SENDER	Cl. Extramuros, S/N	22233	974 46 16 17		cpchalamera@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Fraga	22001875	MIGUEL SERVET	Pza. Valencia, S/N	22520	974 47 04 98	974 47 04 98	cpmsfraga@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Fraga	22001887	SAN JOSÉ DE CALASANZ	Avda. Deportes, 4	22520	974 47 27 06	974 47 13 92	cpjcfraga@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Grañén	22002119	SANTIAGO APÓSTOL	Cl. Escuelas, S/N	22260	974 39 02 03	974390203	cpsaphuesca@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Graus	22002156	JOAQUÍN COSTA	Cl. Angel Samblancat, 10	22430	974 54 01 18	974 540118	cpjcgraus@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Huesca	22002302	JUAN XXIII	Cl. Fraga, 1	22004	974 22 02 96	974 24 49 09	cpjxxhuesca@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Huesca	22002338	PÍO XII	Cl. PÍO XII, 1	22006	974223593	974245661	cppxhuesca@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Huesca	22002341	SANCHO RAMÍREZ	Cl. Torre Mendoza, 1	22005	974 24 24 83	974 24 24 83	cpsrahuesca@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Huesca	22002351	SAN VICENTE	Pza. De San Vicente, 1	22002	974 22 06 25	974 22 06 25	cpsvihuesca@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Huesca	22002569	ALCORAZ	Cl. Binéfar, 5	22004	974 21 03 08	974 210308	cpalchuesca@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Huesca	22004633	EL PARQUE	Cl. Valentín Carderera, 6	22003	974 22 10 38	974 23 16 85	cpepahuesca@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Huesca	22005200	PEDRO J. RUBIO	Cl. Los Olivos, 2	22005	974 22 93 12	974 23 87 17	cppjrhuesca@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Huesca	22010323	PIRINEOS-PYRÉNÉES	CL. CORONA DE ARAGÓN, 2	22005	974 21 36 78	974 21 36 78	cppirhuesca@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Jaca	22002673	SAN JUAN DE LA PEÑA	Cl. San José De Calasanz, 3	22700	974 35 63 70	974 35 63 70	cpsjphuesca@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Jaca	22004839	MONTE OROEL	AVDA. JUAN XXIII, 48	22700	974 35 64 59	974 35 64 59	monteoroel@monteoroel.org
Huesca	Colegio de Educación Infantil y Primaria	Litera	22001905	LITERA	Ctra. Nacional, Km.442	22520	974 47 04 30	974 47 04 30	cplitera@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Lupiñén	22003100	SAN GINÉS	Cl. Única, S/N	22811	974 27 00 24		cplupinen@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Monzón	22003215	JOAQUÍN COSTA	Avda. Goya, 2	22400	974 40 08 19	974 40 08 19	cpjcmonzon@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Monzón	22004840	ARAGÓN	Cl. Calvario, 13	22400	974 40 03 14	974 400314	cparmonzon@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Monzón	22010839	MONZÓN III	Avda. Del Pueyo, S/N	22400	974 41 50 81	974 40 12 33	ceipmonzon@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Ontiñena	22003343	SAN GREGORIO	Cl. San Gregorio, 55	22232	974 46 85 52	974468552	cpontinena@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Paúles de Sarsa	22005431	DE PAÚLES DE SARSA	Cl. Escuelas, S/N	22149	974 34 31 10		cppaules@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Sabiñánigo	22003835	MONTECORONA	Cl. Ciudad De Billère, 18	22600	974 48 40 38	974 48 40 38	cpbvsabinanigo@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Sabiñánigo	22003847	PUENTE SARDAS	Cl. Derechos Humanos, 3	22600	974480462	974480462	cppssabinanigo@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Sariñena	22004104	LA LAGUNA	PZA. MAYORAL ANTONIO SUSÍN, 3-4	22200	974 57 13 14	974 57 02 69	cpsarinena@educa.aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Sena	22004189	ALBERTO GALINDO	Avda. Huesca, S/N	22230	974 57 83 45		cpsena@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Senegüé	22003926	MIGUEL SERVET	Cl. Única, S/N	22666	974 48 43 00		cpsenegue@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Tamarite de Litera	22004271	SAN MIGUEL	Cl. La Colomina, S/N	22550	974 42 03 71	974 42 03 71	cpsmtamarite@educa.aragon.as
Huesca	Colegio de Educación Infantil y Primaria	Tierrantona	22002016	LA FUEVA	Cl. La Fuente, S/N	22336	974 50 71 41	974 50 71 41	cptierrantona@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Villanúa	22004566	COLLARADA	Cami. La Fuente, S/N	22870	974 37 80 43	974378197	cpvillanua@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Villanueva de Sigena	22004578	MIGUEL SERVET	Cl. El Salvador, 5	22231	974 57 84 20	974578420	cpvillanuevas@aragon.es
Huesca	Colegio de Educación Infantil y Primaria	Zaidín	22004608	SAN JUAN BAUTISTA	Avda. San Antonio Abad, 37	22530	974 47 82 08	974 47 82 08	cpzaidin@aragon.es
Huesca	Colegio Rural Agrupado	Adahuesca	22000056	VERO-ALCANADRE	Avda. .De Santiago Foncillas, S/N	22147	974 31 82 97	974318297	craadahuesca@aragon.es
Huesca	Colegio Rural Agrupado	Albelda	22005674	LA LLITERA	Cl. Granero, S/N	22558	974 42 14 07	974 42 14 07	craalbelda@aragon.es
Huesca	Colegio Rural Agrupado	Altorricón	22005819	DE ALTORRICÓN	Cl. Miguel Fleta, 1	22540	974 42 52 02	974 42 52 02	craaltorricon@aragon.es
Huesca	Colegio Rural Agrupado	Belver de Cinca	22005832	ALBEOS	Cl. Escuelas, 28	22533	974 46 81 26		crabelver@aragon.es
Huesca	Colegio Rural Agrupado	Benabarre	22005790	RIBAGORZA ORIENTAL	Cl. San José De Calasanz, 13	22580	974 54 32 55	974 54 32 55	crabenabarre@aragon.es
Huesca	Colegio Rural Agrupado	Benasque	22005881	ALTA RIBAGORZA	Avda. De Luchón, S/N	22440	974 55 11 80	974 55 11 80	crabenasque@aragon.es
Huesca	Colegio Rural Agrupado	Biescas	22005731	ALTO GÁLLEGO	Pza. Ayuntamiento, 4	22630	974 48 53 08		crabiescas@aragon.es
Huesca	Colegio Rural Agrupado	Binaced	22005741	EL TRÉBOL	Cl. Joaquín Costa, S/N	22510	974 42 71 31	974427131	crabinaced@aragon.es
Huesca	Colegio Rural Agrupado	Broto	22001243	ALTO ARA	Avda. Ordesa, 1	22370	974 486 317	974 486 317	crabroto@aragon.es
Huesca	Colegio Rural Agrupado	Capella	22005704	BAJA RIBAGORZA	Bo. Bajo, S/N	22480	974540848	974540432	cracapella@aragon.es
Huesca	Colegio Rural Agrupado	Chimillas	22005728	MONTEARAGÓN	Ctra De Huesca , S/N	22194	974 26 04 62	974 26 04 62	crachimillas@aragon.es
Huesca	Colegio Rural Agrupado	Conchel	22005820	ARCO IRIS	Cl. Monzón, S/N	22414	974 41 33 91	974 41 33 91	craalmuniasj@aragon.es
Huesca	Colegio Rural Agrupado	Fonz	22005716	ESTADILLA-FONZ	Avda. De Las Sierras, 1	22422	974 41 20 31	974 41 20 31	crafonz@aragon.es
Huesca	Colegio Rural Agrupado	Lalueza	22005868	MONEGROS-HOYA	P.º Comenge, 42	22214	974 57 51 46	974 57 51 46	cralalueza@aragon.es
Huesca	Colegio Rural Agrupado	Lanaja	22002843	MONEGROS NORTE	Avda. Zaragoza-Monzón, 60	22250	974 57 42 45	974 57 42 45	cralanaja@aragon.es
Huesca	Colegio Rural Agrupado	Peñalba	22005686	MONTESNEGROS	Cl. Las Afueras, S/N	22592	974 46 30 79	974 46 30 79	crapenalba@aragon.es
Huesca	Colegio Rural Agrupado	Peralta de Alcofea	22005698	A REDOLADA	Cl. Balmes, 16	22130	974 30 07 43	974 30 07 43	craperalta@aragon.es
Huesca	Colegio Rural Agrupado	Plan	22003586	CINCA-CINQUETA	Cl. Alta, S/N	22367	974 50 10 18	974 50 10 18	crabielsa@aragon.es
Huesca	Colegio Rural Agrupado	Puente La Reina de Jaca	22005789	RÍO ARAGÓN	Cl. Molino, 10	22753	974 37 70 49	974 37 70 49	crahecho@aragon.es
Huesca	Colegio Rural Agrupado	Robres	22005856	LA SABINA	CL. Canal de Monegros s/n	22252	974 39 22 36	974 39 22 36	crarobres@aragon.es
Huesca	Colegio Rural Agrupado	Tardienta	22005844	VIOLADA MONEGROS	Cl. José María Peleato, 18	22240	974 25 32 41	974 25 32 41	cratardienta@aragon.es
Huesca	Colegio Rural Agrupado	Torrente de Cinca	22005807	RIBERA DEL CINCA	Cl. Arrabal Del Norte, S/N	22590	974 46 71 42	974 46 71 42	cratorrente@aragon.es
Huesca	Conservatorio Profesional de Música	Huesca	22005133	DE HUESCA	Cl. Fuente Del Ibón, 5	22003	974 24 36 17	974 54 36 08	cpmhuesca@educa.aragon.es
Huesca	Conservatorio Profesional de Música	Monzón	22005376	MIGUEL FLETA	Pza. Aragón, 6	22400	974 40 38 11	974 40 29 33	cpmmonzon@educa.aragon.es
Huesca	Conservatorio Profesional de Música	Sabiñánigo	22005443	DE SABIÑÁNIGO	CL. INSTITUTO LABORAL, 9	22600	974 48 28 34	974 48 28 34	cpmsabinanigo@educa.aragon.es
Huesca	Equipos de Atención Temprana	Huesca	22700121	ATENCION TEMPRANA	Cl. Sancho Ramírez, 24	22001	974 24 59 36	974 24 59 36	eathuesca@educa.aragon.es
Huesca	Equipos de Orientación Educativa y Psicopedagógica	Boltaña	22700111	SUBSEDE EQUIPO GRAL. SOBRARBE-RIBAGORZA	Cl. Samper, S/N (Escuela hogar)	22340	974 50 24 17		
Huesca	Equipos de Orientación Educativa y Psicopedagógica	Fraga	22700054	BAJO CINCA	Cl. Airetas, 17; 2º	22520	974 47 30 21	974 47 23 47	eoepfraga@educa.aragon.es
Huesca	Equipos de Orientación Educativa y Psicopedagógica	Graus	22700066	SOBRARBE-RIBAGORZA	Cl. Angel Samblancat, 10	22430	974 54 60 62	974 54 60 62	eoepgraus@educa.aragon.es
Huesca	Equipos de Orientación Educativa y Psicopedagógica	Huesca	22700078	HOYA-MONEGROS	Cl. Sancho Ramírez, 24	22001	974 24 53 66	974 24 53 66	eoephuesca@educa.aragon.es
Huesca	Equipos de Orientación Educativa y Psicopedagógica	Jaca	22700081	SUBSEDE EQUIPO GRAL. SERRABLO-JACETANIA	Cl. Juan XXIII, S/N	22700	974 36 32 00	974 36 32 00	eoepsabinanigo@educa.aragon.es
Huesca	Equipos de Orientación Educativa y Psicopedagógica	Monzón	22700091	SOMONTANO-CINCA MEDIO-LITERA	Pza. Santa María, 2	22400	974 41 58 58	974 40 18 68	eoepmonzon@educa.aragon.es
Huesca	Equipos de Orientación Educativa y Psicopedagógica	Sabiñánigo	22700108	SERRABLO-JACETANIA	Cl. PEDRO DE SESÉ, 2	22600	974 48 21 39		eoepsabinanigo@educa.aragon.es
Huesca	Escuela de Arte	Huesca	22005145	ESCUELA DE ARTE DE HUESCA	Cl. Santo Cristo De Los Milagros, 21	22004	974 24 06 44	974 24 65 41	contacto.escueladeartedehuesca@gmail.com
Huesca	Escuela de Capacitación Agraria	Jaca	22002740	INSTITUTO DE FORMACIÓN AGROAMBIENTAL	CTRA. JACA-PAMPLONA, KM. 7	22700	974 35 68 19	974 35 68 21	ifajaca@aragon.es
Huesca	Escuela de Educación Infantil	Adahuesca	22010785	TREVIÑER	AVDA. Santiago Foncillas, 9	22147	974 31 81 51		
Huesca	Escuela de Educación Infantil	Aínsa	22010724	DE LA COMARCA DE SOBRARBE	Pº. DE LOS NAVATEROS, S/N	22330			
Huesca	Escuela de Educación Infantil	Albelda	22010062	LO NIU	Cl. Lorenzo Barea, 4	22558	974 42 02 02	974 42 08 02	aytoalbelda@aragon.es
Huesca	Escuela de Educación Infantil	Alcampell	22010517	DE ALCAMPELL	CL. LA LITERA, 15	22560	974 42 09 52	974 42 09 52	secretaria@alcampell.net
Huesca	Escuela de Educación Infantil	Alcolea de Cinca	22010748	SANTA CATALINA	AVDA. DE LA CONSTITUCIÓN, S/N	22410			
Huesca	Escuela de Educación Infantil	Alcubierre	22010682	DE ALCUBIERRE	CL. Herrería, S/N	22251	974577216	974574263	
Huesca	Escuela de Educación Infantil	Almudévar	22010360	@S`CRI@S	AVDA. DEL ROSARIO Y C/ DE LAS CIENCIAS	22270	974 25 06 78	974 25 09 04	guardealmudevar@hotmail.com
Huesca	Escuela de Educación Infantil	Almunia de San Juan	22010751	ATALIA	CL. JOAQUÍN COSTA, 2	22420			
Huesca	Escuela de Educación Infantil	Altorricón	22010116	EL PÍ	CL. MIGUEL FLETA, 3	22540	974 42 52 01	974 42 51 16	eei@altorricon.com
Huesca	Escuela de Educación Infantil	Ayerbe	22010293	LA FONTANETA	CL. PROGRESO, 4	22800	974 38 08 95	974 38 01 19	aytoayerbe@reinodelosmallos.com
Huesca	Escuela de Educación Infantil	Ballobar	22010566	DE BALLOBAR	CL. BARRIO NUEVO, S/N	22234	974461288		
Huesca	Escuela de Educación Infantil	Barbastro	22010487	DE BARBASTRO	CL. OBISPO AMBROSIO ECHEBARRÍA	22300	974 26 90 82	974 30 63 11	escuelainfantil@barbastro.org
Huesca	Escuela de Educación Infantil	Belver de Cinca	22010426	DE BELVER DE CINCA	CL. TRAVESÍA DEL PILAR S/N	22533	650 82 46 72	974 45 60 48	aytobelver1@telefonica.net
Huesca	Escuela de Educación Infantil	Benabarre	22010359	LA CANALLA	NUEVO VIAL DE LA U.A. 3	22580	974 54 30 00	974 54 74 04	aytobenabarre@aragon.es
Huesca	Escuela de Educación Infantil	Benasque	22010311	LA MAINADA	AVDA. LUCHÓN, S/N	22440	974 55 20 86	974 55 20 86	educacioninfantil@benasque.org
Huesca	Escuela de Educación Infantil	Berdún	22010591	DE CANAL DE BERDÚN	PZA. DEL CASTILLO, 1-BAJO	22770	974372719	974371729	
Huesca	Escuela de Educación Infantil	Bielsa	22010529	VALLE DE BIELSA	CL. CALVARIO, S/N	22350	974501080		
Huesca	Escuela de Educación Infantil	Biescas	22010268	DE BIESCAS	AVDA. ZARAGOZA. 21	22630	974 48 53 16	974 49 55 09	admonbiescas@telefonica.net
Huesca	Escuela de Educación Infantil	Binaced	22010301	ABABOL	CL. ALBALATE, 2	22510	974 42 70 01	974 42 74 29	ayuntamiento@binaced.org
Huesca	Escuela de Educación Infantil	Binéfar	22010232	CONCEPCIÓN BAÑERES	CL. MADRID, 7	22500	974 42 97 92	974 43 09 50	escinfantil@binefar.es
Huesca	Escuela de Educación Infantil	Boltaña	22010578	NINONES	CL. SAMPER, 1	22340	974502416		
Huesca	Escuela de Educación Infantil	Broto	22010827	DE BROTO	CL. Morillo S/N	22370	974466306		
Huesca	Escuela de Educación Infantil	Canfranc-Estación	22010581	LA CASITA BLANCA	PZA. DEL PILAR, 1	22880	974372041	974373037	
Huesca	Escuela de Educación Infantil	Castejón de Sos	22010177	LA MAINADA	CL. Constitución, 2	22466	974 55 30 00	974 55 38 20	aytocastejondesos@aragon.es
Huesca	Escuela de Educación Infantil	Chimillas	22010815	VIRGEN DEL ROSARIO	CL. Escuelas, 22	22194			
Huesca	Escuela de Educación Infantil	Esplús	22010104	LA COMETA	Pza. Escuelas, 9	22535	974 43 51 29	974 43 51 00	ayuntamiento@esplus.info
Huesca	Escuela de Educación Infantil	Fiscal	22010736	CHAVALINES	CL. COSO ALTO, 47	22373	974 503369		
